dataset,mAP_box,AP50_box,AR_box,mAP_seg,AP50_seg,AR_seg,n_gt,n_pred,n_images
ALUS,0.6609655955181725,0.9658632609962224,0.6885236447520184,0.8023439618791794,0.9768061872985182,0.8340253748558247,6936,7187,352
AMI-traps,0.31743480185957906,0.6073549072433827,0.353965041398344,0.3268794151708866,0.6314329764526906,0.3887396504139834,5435,5019,159
AMT,0.4880955249481602,0.9284423357031851,0.5349322210636078,0.6373434898418527,0.9598767807122961,0.6891553701772679,959,1030,110
ArTaxOr,0.7371966947487104,0.8879058149419979,0.7829368334700574,0.6758471497954137,0.8871068943973025,0.7351927809680066,1219,1498,1049
BIOSCAN,0.8918904420518218,0.9759669763499218,0.9139720558882234,0.8512503257354875,0.9760990493317327,0.8800399201596806,501,570,501
CollembolAI,0.39442408613550267,0.5324144901837651,0.4113709540755804,0.39577006409590704,0.5320038015135715,0.417980003389256,5901,6285,43
DIRT,0.4426988040232747,0.8682681923450144,0.48703703703703705,0.6057584274962203,0.9313730485137882,0.649867724867725,3780,3901,271
Diopsis,0.3040278091582966,0.6389711089753796,0.3411889596602972,0.34279287597563596,0.7213858008266332,0.4008492569002122,471,457,63
DiversityScanner,0.9556330328074096,0.9900615770461734,0.9709981167608287,0.9175615645874617,0.9900615770461734,0.9448210922787194,531,530,529
Mothitor,0.34056429588452947,0.7508421958896901,0.40984455958549226,0.4027011883731198,0.7917673095422959,0.4761658031088083,193,200,12
NHM-beetles-crops,0.843691386911765,1.0,0.8690540540540541,0.9333242816146097,1.0,0.9577027027027027,740,749,5716
PeMaToEuroPep,0.15585346296683783,0.3898785624923054,0.2299671929464835,0.3501298536098874,0.5234172841723639,0.46721345089194183,9754,8484,284
abram2023,0.23058226508500518,0.32618596266859684,0.24148760330578506,0.22276793741184212,0.3262399365161234,0.2391735537190082,7865,7674,26
amarathunga2022,0.93853845463242,0.9995715918842517,0.9580935251798561,0.8878382189515153,0.9995715918842517,0.9151079136690647,556,571,550
anTraX,0.46848382517927717,0.8271348397779775,0.4953059513830679,0.6273355608461074,0.8588577649469751,0.6595976529756915,4772,4299,212
biodiscover-arm,0.18154820621459017,0.5749969048876383,0.22561999236932467,0.44778704227587485,0.6988249399565385,0.4859977107974055,5242,4469,52
cao2022,0.6530149246308357,0.9898827972404943,0.6956738768718802,0.6569607342643854,0.9899826391574592,0.7086522462562396,601,600,60
gernat2018,0.7401763068816865,0.9476989811898159,0.7773635872501351,0.7529411333175374,0.947795426332446,0.7857374392220422,1851,1848,38
pinoy2023,0.3246331885016956,0.49342125499185674,0.3435856391493254,0.31352705151317034,0.4934772369506914,0.3451330131869807,13119,13230,76
sittinger2023,0.5139095871394066,0.837609492569569,0.5436893203883495,0.5837503990663674,0.9166198865085556,0.6156726768377254,721,715,400
sticky-pi,0.2436050446199944,0.5615890263031456,0.2886826728026886,0.34640779977448344,0.6131703079143488,0.3897605134881467,33029,33420,483
ubc-pitfall-traps,0.461596415746753,0.724656638827008,0.485517353227376,0.4735668768899889,0.7418641106324274,0.5322737593253324,6166,5174,150
ubc-scanned-sticky-cards,0.5688289949657696,0.8160319436911675,0.6040498442367601,0.5265656986652182,0.8152891920715913,0.5694080996884734,3210,3607,50
