dataset,short_name,n_images,DOI_data_new
abram2023,ABR,26,10.5281/zenodo.13992282
ALUS,ALU,352,10.5281/zenodo.13919486
amarathunga2022,AMA,550,10.5281/zenodo.13919602
AMI-traps,AMI,153,10.5281/zenodo.13991167
AMT,AMT,110,10.5281/zenodo.13991268
anTraX,ATX,212,10.5281/zenodo.13919641
ArTaxOr,ATO,1050,10.5281/zenodo.13919717
biodiscover-arm,BDA,53,10.5281/zenodo.13992340
BIOSCAN,BIS,501,10.5281/zenodo.13920322
cao2022,CAO,60,10.5281/zenodo.13920372
CollembolAI,CAI,43,10.5281/zenodo.13920408
Diopsis,DPS,63,10.5281/zenodo.13991200
DIRT,DIR,291,10.5281/zenodo.13992477
DiversityScanner,DIS,529,10.5281/zenodo.13929922
gernat2018,GER,38,10.5281/zenodo.13991237
Mothitor,MOI,12,10.5281/zenodo.13992498
NHM-beetles-crops,NBC,12,10.5281/zenodo.13991316
PeMaToEuroPep,PME,729,10.5281/zenodo.13930055
pinoy2023,PIN,284,10.5281/zenodo.13992379
sittinger2023,SIT,76,10.5281/zenodo.13920464
sticky-pi,SPI,400,10.5281/zenodo.11366139
ubc-pitfall-traps,UPT,476,10.5281/zenodo.13992496
ubc-scanned-sticky-cards,USC,150,10.5281/zenodo.13992488
