image;idx_1;idx_2;bbox_1;bbox_2;contourArea_1;contourArea_2;IoU;conf1;conf2;IoU_bb
0000003;1;-1;[197, 457, 229, 507];;1600.0;0.0;0.0;1.0;0.0;0.0
0000003;2;1;[401, 432, 450, 500];[403, 437, 452, 502];3332.0;1696.0;0.5108349919319153;1.0;0.615234375;0.8326771653543307
0000003;-1;0;;[291, 412, 336, 471];0.0;1444.0;0.0;;0.673828125;0.0
0000003;-1;2;;[516, 394, 571, 430];0.0;1226.0;0.0;;0.03271484375;0.0
0000003;-1;3;;[109, 172, 174, 224];0.0;2122.0;0.0;;0.0224609375;0.0
0000003;-1;4;;[594, 303, 633, 327];0.0;588.0;0.0;;0.0191192626953125;0.0
0000003;-1;5;;[278, 187, 318, 218];0.0;706.0;0.0;;0.0174407958984375;0.0
0000003;-1;6;;[191, 406, 224, 455];0.0;1032.0;0.0;;0.0160980224609375;0.0
0000003;-1;7;;[284, 475, 368, 536];0.0;3509.0;0.0;;0.01267242431640625;0.0
0000010;3;-1;[178, 33, 198, 59];;520.0;0.0;0.0;1.0;0.0;0.0
0000010;4;-1;[181, 61, 211, 81];;600.0;0.0;0.0;1.0;0.0;0.0
0000010;5;-1;[174, 117, 188, 146];;406.0;0.0;0.0;1.0;0.0;0.0
0000010;6;37;[158, 168, 187, 188];[153, 162, 218, 202];580.0;1713.0;0.31690141558647156;1.0;0.027069091796875;0.2230769230769231
0000010;7;32;[195, 182, 221, 219];[197, 166, 246, 221];962.0;1442.0;0.4244121015071869;1.0;0.061431884765625;0.3206933911159263
0000010;8;-1;[242, 187, 276, 213];;884.0;0.0;0.0;1.0;0.0;0.0
0000010;9;34;[102, 220, 124, 249];[103, 219, 124, 252];638.0;398.0;0.6151645183563232;1.0;0.045684814453125;0.8434903047091413
0000010;10;28;[95, 257, 124, 279];[97, 256, 124, 280];638.0;475.0;0.7175463438034058;1.0;0.2393798828125;0.8583815028901735
0000010;11;23;[361, 342, 384, 384];[359, 347, 383, 383];966.0;557.0;0.5622605085372925;1.0;0.363037109375;0.7630057803468208
0000010;12;29;[425, 368, 505, 435];[425, 369, 508, 436];5360.0;2888.0;0.5394213199615479;1.0;0.2288818359375;0.9360042545647935
0000010;13;-1;[303, 139, 334, 157];;558.0;0.0;0.0;1.0;0.0;0.0
0000010;14;15;[347, 122, 387, 145];[306, 125, 383, 177];920.0;2054.0;0.2680954337120056;1.0;0.46875;0.17126546146527116
0000010;15;40;[479, 143, 514, 170];[481, 147, 514, 171];945.0;463.0;0.5024777054786682;1.0;0.0210418701171875;0.7760736196319018
0000010;-1;8;;[306, 103, 352, 146];0.0;983.0;0.0;;0.689453125;0.0
0000010;-1;9;;[534, 287, 577, 340];0.0;831.0;0.0;;0.67724609375;0.0
0000010;-1;10;;[403, 269, 439, 305];0.0;853.0;0.0;;0.64404296875;0.0
0000010;-1;11;;[378, 259, 408, 302];0.0;762.0;0.0;;0.6318359375;0.0
0000010;-1;12;;[356, 241, 386, 280];0.0;660.0;0.0;;0.6259765625;0.0
0000010;-1;13;;[300, 72, 358, 111];0.0;1217.0;0.0;;0.546875;0.0
0000010;-1;14;;[278, 87, 315, 124];0.0;766.0;0.0;;0.48828125;0.0
0000010;-1;16;;[612, 169, 664, 221];0.0;1468.0;0.0;;0.458984375;0.0
0000010;-1;17;;[166, 419, 202, 452];0.0;803.0;0.0;;0.441650390625;0.0
0000010;-1;18;;[253, 334, 324, 380];0.0;2442.0;0.0;;0.435791015625;0.0
0000010;-1;19;;[403, 159, 427, 190];0.0;418.0;0.0;;0.42822265625;0.0
0000010;-1;20;;[244, 425, 315, 464];0.0;1388.0;0.0;;0.4072265625;0.0
0000010;-1;21;;[366, 422, 393, 461];0.0;813.0;0.0;;0.405517578125;0.0
0000010;-1;22;;[378, 225, 436, 252];0.0;806.0;0.0;;0.36572265625;0.0
0000010;-1;24;;[197, 428, 221, 461];0.0;424.0;0.0;;0.318359375;0.0
0000010;-1;25;;[119, 281, 152, 311];0.0;618.0;0.0;;0.310791015625;0.0
0000010;-1;26;;[334, 169, 365, 193];0.0;418.0;0.0;;0.2958984375;0.0
0000010;-1;27;;[375, 147, 411, 177];0.0;637.0;0.0;;0.277587890625;0.0
0000010;-1;30;;[325, 350, 352, 380];0.0;470.0;0.0;;0.1571044921875;0.0
0000010;-1;31;;[550, 3, 589, 46];0.0;858.0;0.0;;0.07476806640625;0.0
0000010;-1;33;;[169, 384, 236, 414];0.0;1320.0;0.0;;0.060516357421875;0.0
0000010;-1;35;;[512, 137, 536, 177];0.0;603.0;0.0;;0.0390625;0.0
0000010;-1;36;;[131, 187, 155, 224];0.0;523.0;0.0;;0.034088134765625;0.0
0000010;-1;38;;[159, 347, 227, 393];0.0;1690.0;0.0;;0.0254669189453125;0.0
0000010;-1;39;;[350, 222, 374, 249];0.0;363.0;0.0;;0.0231475830078125;0.0
0000010;-1;41;;[191, 256, 224, 302];0.0;771.0;0.0;;0.0202484130859375;0.0
