image;idx_1;idx_2;bbox_1;bbox_2;contourArea_1;contourArea_2;IoU;conf1;conf2;IoU_bb
W_UV_ISKANDARPUTERI_170824FT1_A095;1;14;[1088, 3499, 1277, 3656];[1094, 3510, 1271, 3653];29673.038492780248;26074.212516903877;0.394503653049469;1.0;0.94921875;0.8529976746537256
W_UV_ISKANDARPUTERI_170824FT1_A095;2;18;[1025, 3286, 1181, 3419];[1037, 3288, 1178, 3417];20707.323912670694;18530.959326177835;0.42380455136299133;1.0;0.9453125;0.8766628108733372
W_UV_ISKANDARPUTERI_170824FT1_A095;3;96;[1432, 3400, 1590, 3561];[1480, 3414, 1632, 3567];25453.482143807258;24112.0145983994;0.3960910737514496;1.0;0.890625;0.49717131964088057
W_UV_ISKANDARPUTERI_170824FT1_A095;4;548;[840, 3766, 917, 3818];[853, 3778, 902, 3803];4006.4694912396467;58683.83602076769;0.22423802316188812;1.0;0.054931640625;0.30594405594405594
W_UV_ISKANDARPUTERI_170824FT1_A095;5;135;[396, 3093, 450, 3130];[398, 3089, 445, 3137];2014.386674869849;2327.6971657276154;0.45365625619888306;1.0;0.6875;0.6914512922465209
W_UV_ISKANDARPUTERI_170824FT1_A095;6;-1;[426, 3224, 503, 3277];;4006.6932288557327;0.0;0.0;1.0;0.0;0.0
W_UV_ISKANDARPUTERI_170824FT1_A095;7;104;[1756, 2990, 1832, 3042];[1760, 2990, 1803, 3033];4006.6219212157257;2078.2190349698067;0.2283754050731659;1.0;0.859375;0.46786437246963564
W_UV_ISKANDARPUTERI_170824FT1_A095;8;19;[661, 3401, 801, 3598];[661, 3402, 797, 3589];27711.96288050727;25610.914791226387;0.3207966089248657;1.0;0.9453125;0.9221174764321972
W_UV_ISKANDARPUTERI_170824FT1_A095;9;73;[780, 3425, 898, 3566];[797, 3432, 882, 3559];16534.2455719037;13257.279612869024;0.3914664387702942;1.0;0.91796875;0.6488159634571463
W_UV_ISKANDARPUTERI_170824FT1_A095;10;28;[520, 3162, 646, 3303];[488, 3167, 639, 3294];17724.747468475034;19815.37567448616;0.3827560245990753;1.0;0.94140625;0.692304168575355
W_UV_ISKANDARPUTERI_170824FT1_A095;11;45;[436, 3079, 637, 3190];[450, 3045, 632, 3189];22264.250821651218;30230.081363797188;0.36723792552948;1.0;0.93359375;0.702480788799607
W_UV_ISKANDARPUTERI_170824FT1_A095;12;16;[616, 2970, 774, 3088];[625, 2960, 752, 3097];18707.44060910658;17473.275994062424;0.4076794683933258;1.0;0.9453125;0.7116873248800873
W_UV_ISKANDARPUTERI_170824FT1_A095;13;5;[752, 3126, 925, 3264];[751, 3136, 917, 3263];23822.1205117788;21360.633534908295;0.4358539581298828;1.0;0.9609375;0.8730886213074456
W_UV_ISKANDARPUTERI_170824FT1_A095;14;82;[664, 2785, 767, 2933];[659, 2788, 758, 2926];15326.666214841047;13944.215008601546;0.5185043215751648;1.0;0.91015625;0.8141081963097778
W_UV_ISKANDARPUTERI_170824FT1_A095;15;50;[517, 2728, 670, 2867];[509, 2730, 675, 2853];21286.19955556846;21515.733486413956;0.50699383020401;1.0;0.9296875;0.8230123327210705
W_UV_ISKANDARPUTERI_170824FT1_A095;16;-1;[1289, 3029, 1366, 3081];;4006.4694912396467;0.0;0.0;1.0;0.0;0.0
W_UV_ISKANDARPUTERI_170824FT1_A095;17;141;[904, 2758, 981, 2810];[918, 2761, 965, 2802];4006.4694912396467;1935.163607597351;0.23996129631996155;1.0;0.66015625;0.48126873126873126
W_UV_ISKANDARPUTERI_170824FT1_A095;18;86;[375, 577, 458, 723];[370, 595, 449, 715];12184.34187035627;10179.642165184021;0.36455899477005005;1.0;0.90625;0.6982229910363265
W_UV_ISKANDARPUTERI_170824FT1_A095;19;81;[397, 2571, 509, 2746];[392, 2584, 500, 2740];19600.109773755576;17528.199815690517;0.432181715965271;1.0;0.91015625;0.7884200196270854
W_UV_ISKANDARPUTERI_170824FT1_A095;20;-1;[1740, 2595, 1789, 2635];;1967.5174833528174;0.0;0.0;1.0;0.0;0.0
W_UV_ISKANDARPUTERI_170824FT1_A095;21;134;[1946, 2379, 1980, 2417];[1944, 2386, 1972, 2410];1306.868193321809;841.6034401655197;0.2997811734676361;1.0;0.69140625;0.46567164179104475
W_UV_ISKANDARPUTERI_170824FT1_A095;22;111;[2033, 1205, 2115, 1309];[2016, 1203, 2125, 1319];8556.224154001531;11389.035722136497;0.6944776177406311;1.0;0.80859375;0.6744701043973426
W_UV_ISKANDARPUTERI_170824FT1_A095;23;9;[836, 2622, 946, 2744];[833, 2622, 948, 2735];13396.636112070173;13706.612379670143;0.4407447874546051;1.0;0.95703125;0.8888094386843046
W_UV_ISKANDARPUTERI_170824FT1_A095;24;54;[1797, 3092, 1941, 3216];[1804, 3079, 1937, 3227];17921.205592259143;19551.614420324564;0.45243072509765625;1.0;0.9296875;0.7835423793234512
W_UV_ISKANDARPUTERI_170824FT1_A095;25;77;[1854, 3283, 1998, 3407];[1847, 3282, 2004, 3428];17921.568582791893;23652.165611952543;0.5170024037361145;1.0;0.9140625;0.7789896169618707
W_UV_ISKANDARPUTERI_170824FT1_A095;26;36;[2036, 3386, 2204, 3534];[2039, 3388, 2194, 3539];24711.342496395835;24095.78547757864;0.3936098515987396;1.0;0.9375;0.8826397285385545
W_UV_ISKANDARPUTERI_170824FT1_A095;27;53;[1563, 3050, 1707, 3174];[1564, 3049, 1707, 3174];17921.568582791893;17815.754817008972;0.4070357382297516;1.0;0.9296875;0.9851658425468082
W_UV_ISKANDARPUTERI_170824FT1_A095;28;107;[463, 2545, 612, 2687];[462, 2545, 611, 2679];21068.056290702698;19806.140801399946;0.44242510199546814;1.0;0.8359375;0.9314296449370656
W_UV_ISKANDARPUTERI_170824FT1_A095;29;76;[487, 2427, 627, 2560];[497, 2435, 621, 2573];18688.914072158143;18058.040859103203;0.47834500670433044;1.0;0.9140625;0.7661130881771451
W_UV_ISKANDARPUTERI_170824FT1_A095;30;35;[851, 2905, 985, 3014];[851, 2903, 989, 3018];14623.223181557762;15231.335363388062;0.3836224377155304;1.0;0.9375;0.9203528670447385
W_UV_ISKANDARPUTERI_170824FT1_A095;31;33;[1039, 2392, 1210, 2551];[1046, 2395, 1206, 2550];27343.48888643271;24809.800819069147;0.3895348906517029;1.0;0.9375;0.9121335834344771
W_UV_ISKANDARPUTERI_170824FT1_A095;32;303;[1388, 1671, 1465, 1723];[1408, 1676, 1452, 1706];4006.6932288557327;8337.871215358377;0.2230285406112671;1.0;0.11572265625;0.32967032967032966
W_UV_ISKANDARPUTERI_170824FT1_A095;33;607;[465, 1347, 503, 1399];[477, 1360, 501, 1387];2006.8930650457007;29553.193557351828;0.22012577950954437;1.0;0.048828125;0.32793522267206476
W_UV_ISKANDARPUTERI_170824FT1_A095;34;138;[385, 1394, 423, 1447];[385, 1410, 407, 1436];2007.0051381492385;624.2826678901911;0.21509972214698792;1.0;0.6640625;0.2840119165839126
W_UV_ISKANDARPUTERI_170824FT1_A095;35;-1;[691, 1331, 729, 1383];;2007.0051381492385;0.0;0.0;1.0;0.0;0.0
W_UV_ISKANDARPUTERI_170824FT1_A095;36;112;[1154, 1071, 1193, 1123];[1162, 1078, 1181, 1111];2006.8930650457007;660.8487864732742;0.2358490526676178;1.0;0.78125;0.3091715976331361
W_UV_ISKANDARPUTERI_170824FT1_A095;37;93;[2036, 2726, 2208, 2891];[2033, 2747, 2195, 2904];28356.206169752277;27182.129647254944;0.36807048320770264;1.0;0.89453125;0.7405394915583156
W_UV_ISKANDARPUTERI_170824FT1_A095;38;-1;[1293, 3529, 1334, 3562];;1370.0170288612906;0.0;0.0;1.0;0.0;0.0
W_UV_ISKANDARPUTERI_170824FT1_A095;39;389;[732, 3306, 799, 3374];[748, 3307, 785, 3358];4520.694837371009;7185.58253981173;0.30967605113983154;1.0;0.08251953125;0.4141791044776119
W_UV_ISKANDARPUTERI_170824FT1_A095;40;410;[1362, 1741, 1438, 1793];[1381, 1746, 1412, 1784];4006.845667344124;4961.417650282383;0.20240136981010437;1.0;0.07568359375;0.2980769230769231
W_UV_ISKANDARPUTERI_170824FT1_A095;41;146;[636, 1856, 693, 1903];[639, 1856, 685, 1884];2636.538913421918;1427.8387644141912;0.29885056614875793;1.0;0.6328125;0.48077640910787606
W_UV_ISKANDARPUTERI_170824FT1_A095;42;90;[2027, 2397, 2193, 2572];[2032, 2394, 2209, 2545];29060.012661745488;27391.68469262123;0.339886873960495;1.0;0.90234375;0.7458136404895301
W_UV_ISKANDARPUTERI_170824FT1_A095;43;61;[1770, 2782, 1926, 2909];[1781, 2793, 1923, 2906];19984.847536390174;16430.149005889893;0.4832802414894104;1.0;0.92578125;0.809913183928932
W_UV_ISKANDARPUTERI_170824FT1_A095;44;178;[528, 2014, 576, 2053];[539, 2016, 572, 2050];1880.0053970899876;1363.4962315559387;0.388775497674942;1.0;0.392578125;0.5993589743589743
W_UV_ISKANDARPUTERI_170824FT1_A095;45;13;[1051, 2864, 1208, 3033];[1059, 2863, 1202, 3025];26514.848313310107;23373.02306163311;0.34654608368873596;1.0;0.94921875;0.8630604288499025
W_UV_ISKANDARPUTERI_170824FT1_A095;46;66;[1155, 2766, 1313, 2872];[1158, 2765, 1310, 2863];16674.651702584582;15006.60457661748;0.5194385647773743;1.0;0.921875;0.8724260355029586
W_UV_ISKANDARPUTERI_170824FT1_A095;47;89;[1243, 2820, 1370, 2963];[1228, 2829, 1370, 2965];18182.78649721532;20728.185335814953;0.4469713270664215;1.0;0.90234375;0.8319726228306038
W_UV_ISKANDARPUTERI_170824FT1_A095;48;102;[1471, 2717, 1575, 2859];[1473, 2717, 1576, 2868];14625.851051532354;15440.077266454697;0.5088616013526917;1.0;0.8671875;0.9145671528698617
W_UV_ISKANDARPUTERI_170824FT1_A095;49;72;[1343, 2795, 1500, 2933];[1352, 2795, 1506, 2931];21728.358091121627;21433.001529425383;0.4556202292442322;1.0;0.91796875;0.8952940129881684
W_UV_ISKANDARPUTERI_170824FT1_A095;50;17;[1434, 3016, 1591, 3191];[1433, 3017, 1586, 3161];27579.891801719856;22820.09152418375;0.4139220416545868;1.0;0.9453125;0.7924979180998588
W_UV_ISKANDARPUTERI_170824FT1_A095;51;83;[1501, 2863, 1608, 2972];[1496, 2864, 1598, 2971];11674.708482574462;11595.83513879776;0.414652556180954;1.0;0.91015625;0.8508771929824561
W_UV_ISKANDARPUTERI_170824FT1_A095;52;95;[1545, 2679, 1676, 2810];[1551, 2677, 1633, 2807];17118.79627976609;10996.20884603262;0.40276581048965454;1.0;0.890625;0.6058297258297258
W_UV_ISKANDARPUTERI_170824FT1_A095;53;44;[1349, 2530, 1507, 2678];[1350, 2545, 1501, 2669];23321.556507534315;19809.03262874484;0.32695960998535156;1.0;0.93359375;0.8007184399589463
W_UV_ISKANDARPUTERI_170824FT1_A095;54;52;[1935, 2628, 2041, 2803];[1940, 2650, 2045, 2797];18417.749597441107;15843.351103901863;0.4431312382221222;1.0;0.9296875;0.7757863935625458
W_UV_ISKANDARPUTERI_170824FT1_A095;55;98;[1920, 2182, 2078, 2357];[1933, 2179, 2079, 2339];27579.891801719856;25607.241112291813;0.4358663558959961;1.0;0.88671875;0.8059833598867057
W_UV_ISKANDARPUTERI_170824FT1_A095;56;101;[2062, 2128, 2199, 2303];[2052, 2134, 2207, 2296];24033.832750250578;25224.105948746204;0.49421006441116333;1.0;0.875;0.8253318954296976
W_UV_ISKANDARPUTERI_170824FT1_A095;57;25;[1704, 1948, 1862, 2079];[1706, 1948, 1865, 2075];20661.47594325843;19922.620165646076;0.3945426046848297;1.0;0.94140625;0.9398927842876796
W_UV_ISKANDARPUTERI_170824FT1_A095;58;34;[1574, 1951, 1732, 2104];[1572, 1952, 1722, 2094];24124.13135896436;21590.34242850542;0.392530620098114;1.0;0.9375;0.8592689508545261
W_UV_ISKANDARPUTERI_170824FT1_A095;59;27;[1425, 1948, 1581, 2074];[1429, 1951, 1583, 2067];19652.141640111586;18543.62487487495;0.5498271584510803;1.0;0.94140625;0.8865647626709574
W_UV_ISKANDARPUTERI_170824FT1_A095;60;49;[1508, 1664, 1666, 1839];[1510, 1667, 1668, 1835];27579.891801719856;27004.523433446884;0.39034587144851685;1.0;0.9296875;0.9364682341170585
W_UV_ISKANDARPUTERI_170824FT1_A095;61;69;[1039, 1689, 1196, 1851];[1045, 1694, 1216, 1839];25452.10314921717;24744.59689863026;0.43180328607559204;1.0;0.91796875;0.7727465236112091
W_UV_ISKANDARPUTERI_170824FT1_A095;62;65;[1120, 1787, 1277, 1930];[1122, 1789, 1270, 1916];22526.336293918055;19664.46370124817;0.4715629518032074;1.0;0.921875;0.8372010155449646
W_UV_ISKANDARPUTERI_170824FT1_A095;63;58;[1289, 1809, 1412, 1922];[1294, 1813, 1413, 1905];13936.62018335155;10606.745799779892;0.41020017862319946;1.0;0.92578125;0.7759273818883567
W_UV_ISKANDARPUTERI_170824FT1_A095;64;40;[1198, 2000, 1331, 2112];[1182, 2003, 1330, 2114];15078.291745290942;16189.790316820145;0.5300220251083374;1.0;0.93359375;0.8495512517713746
W_UV_ISKANDARPUTERI_170824FT1_A095;65;26;[1027, 1924, 1196, 2069];[1030, 1922, 1187, 2050];24500.785957538297;20938.680142134428;0.46650055050849915;1.0;0.94140625;0.7970506466819776
W_UV_ISKANDARPUTERI_170824FT1_A095;66;23;[740, 2186, 887, 2312];[748, 2192, 873, 2311];18586.902998430403;14781.989509522915;0.30059587955474854;1.0;0.94140625;0.8030990173847317
W_UV_ISKANDARPUTERI_170824FT1_A095;67;8;[699, 2346, 857, 2481];[707, 2342, 853, 2474];21197.44517393852;19879.382671415806;0.4276830852031708;1.0;0.95703125;0.8527881719448754
W_UV_ISKANDARPUTERI_170824FT1_A095;68;43;[649, 2253, 806, 2362];[653, 2256, 796, 2361];17207.094495093017;14833.411512494087;0.5066743493080139;1.0;0.93359375;0.8774031438088004
W_UV_ISKANDARPUTERI_170824FT1_A095;69;24;[924, 2290, 1048, 2465];[935, 2286, 1021, 2462];21667.06944267336;14815.541977405548;0.44452011585235596;1.0;0.94140625;0.6710215931772818
W_UV_ISKANDARPUTERI_170824FT1_A095;70;10;[593, 2123, 725, 2258];[594, 2127, 720, 2234];17787.06591092654;13947.791120052338;0.42188191413879395;1.0;0.953125;0.7565656565656566
W_UV_ISKANDARPUTERI_170824FT1_A095;71;88;[433, 1905, 590, 1988];[427, 1866, 553, 2003];12947.380206317386;17499.62010540068;0.4685109257698059;1.0;0.90234375;0.4898440958048493
W_UV_ISKANDARPUTERI_170824FT1_A095;72;337;[409, 1775, 567, 1940];[472, 1773, 561, 1917];25983.47573126364;10386.48233756423;0.23217329382896423;1.0;0.09814453125;0.481484303565986
W_UV_ISKANDARPUTERI_170824FT1_A095;73;79;[509, 1725, 629, 1869];[515, 1735, 629, 1859];17417.88685905008;14424.398425519466;0.4127671718597412;1.0;0.91015625;0.8180555555555555
W_UV_ISKANDARPUTERI_170824FT1_A095;74;75;[375, 1473, 523, 1628];[380, 1479, 521, 1640];22821.298640088815;23192.20185430348;0.4434678852558136;1.0;0.9140625;0.8529149074374797
W_UV_ISKANDARPUTERI_170824FT1_A095;75;48;[526, 1463, 683, 1626];[527, 1463, 672, 1624];25716.870110513682;23932.88153140247;0.33409231901168823;1.0;0.9296875;0.9122347700363409
W_UV_ISKANDARPUTERI_170824FT1_A095;76;41;[1199, 1561, 1357, 1719];[1207, 1565, 1356, 1708];24919.351572580614;21052.259566009045;0.35113325715065;1.0;0.93359375;0.8535090530363724
W_UV_ISKANDARPUTERI_170824FT1_A095;77;47;[973, 1483, 1130, 1635];[979, 1485, 1127, 1631];23857.98540307776;22096.14075125754;0.41904526948928833;1.0;0.93359375;0.9054642976868924
W_UV_ISKANDARPUTERI_170824FT1_A095;78;68;[699, 1407, 857, 1547];[704, 1414, 855, 1558];21992.20572269141;22122.164173834026;0.40733659267425537;1.0;0.921875;0.8444977082544889
W_UV_ISKANDARPUTERI_170824FT1_A095;79;12;[701, 1227, 859, 1402];[692, 1237, 845, 1389];27579.891801719856;23750.51740576327;0.37450581789016724;1.0;0.94921875;0.7542904404162933
W_UV_ISKANDARPUTERI_170824FT1_A095;80;91;[890, 1176, 994, 1305];[896, 1186, 987, 1316];13404.414356592488;11716.4721930027;0.5520161986351013;1.0;0.8984375;0.7511271415689811
W_UV_ISKANDARPUTERI_170824FT1_A095;81;80;[943, 1252, 1100, 1427];[948, 1253, 1093, 1404];27579.891801719856;23059.074511229992;0.443577378988266;1.0;0.91015625;0.7969062784349409
W_UV_ISKANDARPUTERI_170824FT1_A095;82;22;[1299, 1392, 1456, 1567];[1300, 1414, 1454, 1578];27579.891801719856;25933.298488855362;0.3981262147426605;1.0;0.94140625;0.8077753779697624
W_UV_ISKANDARPUTERI_170824FT1_A095;83;70;[1520, 1519, 1634, 1694];[1524, 1528, 1632, 1687];19894.806025044323;17961.034772321582;0.46012845635414124;1.0;0.91796875;0.8607518796992482
W_UV_ISKANDARPUTERI_170824FT1_A095;84;59;[1615, 1606, 1738, 1773];[1628, 1616, 1739, 1765];20622.355577712464;17188.26672077179;0.44920092821121216;1.0;0.92578125;0.792170130497825
W_UV_ISKANDARPUTERI_170824FT1_A095;85;92;[1966, 1309, 2123, 1432];[1984, 1272, 2126, 1430];19333.044488142255;23018.613374367356;0.45945310592651367;1.0;0.89453125;0.6747031450577664
W_UV_ISKANDARPUTERI_170824FT1_A095;86;71;[2119, 1294, 2241, 1446];[2115, 1267, 2241, 1434];18488.243009241258;21681.793017089367;0.42346569895744324;1.0;0.91796875;0.7589087354483249
W_UV_ISKANDARPUTERI_170824FT1_A095;87;87;[2000, 1050, 2137, 1190];[1984, 1033, 2142, 1180];19204.17659246749;23166.091295272112;0.5202429890632629;1.0;0.90234375;0.7241014799154334
W_UV_ISKANDARPUTERI_170824FT1_A095;88;85;[2023, 898, 2180, 1073];[2020, 923, 2169, 1042];27579.891801719856;18290.98003412783;0.3373788297176361;1.0;0.91015625;0.6242454728370221
W_UV_ISKANDARPUTERI_170824FT1_A095;89;57;[1833, 1073, 1991, 1216];[1842, 1073, 2004, 1203];22524.037969601246;22161.814390987158;0.5231356620788574;1.0;0.92578125;0.797644539614561
W_UV_ISKANDARPUTERI_170824FT1_A095;90;46;[1623, 1102, 1766, 1251];[1617, 1111, 1760, 1245];21272.68550222105;19572.64428126812;0.4111039340496063;1.0;0.93359375;0.8302654787209987
W_UV_ISKANDARPUTERI_170824FT1_A095;91;62;[1439, 1041, 1597, 1169];[1447, 1046, 1607, 1168];20225.713652791255;18621.94264754653;0.420796662569046;1.0;0.92578125;0.8533855623950756
W_UV_ISKANDARPUTERI_170824FT1_A095;92;7;[716, 983, 882, 1137];[726, 963, 882, 1133];25716.180613218632;27018.883063405752;0.43007391691207886;1.0;0.95703125;0.8157858039325059
W_UV_ISKANDARPUTERI_170824FT1_A095;93;31;[398, 1003, 526, 1146];[402, 1007, 524, 1140];18352.919827082493;16732.56116765365;0.5281546115875244;1.0;0.9375;0.8864729020979021
W_UV_ISKANDARPUTERI_170824FT1_A095;94;38;[509, 1053, 614, 1172];[509, 1056, 617, 1172];12564.479375136843;13186.226116836071;0.4346802532672882;1.0;0.93359375;0.9483765475356225
W_UV_ISKANDARPUTERI_170824FT1_A095;95;2;[427, 758, 535, 904];[427, 770, 532, 901];15748.092681845183;14082.523412883282;0.4657679498195648;1.0;0.9609375;0.8723363774733638
W_UV_ISKANDARPUTERI_170824FT1_A095;96;3;[687, 729, 786, 889];[690, 742, 789, 899];15918.313390597958;15901.533675447106;0.5124109983444214;1.0;0.9609375;0.8170922355393434
W_UV_ISKANDARPUTERI_170824FT1_A095;97;6;[757, 793, 914, 968];[782, 806, 909, 950];27579.891801719856;18823.471942305565;0.30865219235420227;1.0;0.95703125;0.6656232939035487
W_UV_ISKANDARPUTERI_170824FT1_A095;98;1;[841, 630, 978, 784];[835, 635, 982, 788];21204.56997932063;21726.595912456512;0.4545285701751709;1.0;0.9609375;0.880781843286158
W_UV_ISKANDARPUTERI_170824FT1_A095;99;29;[929, 930, 1045, 1079];[927, 939, 1042, 1077];17365.45755283351;15659.812281962484;0.5083674788475037;1.0;0.94140625;0.8880410022779043
W_UV_ISKANDARPUTERI_170824FT1_A095;100;37;[1066, 848, 1174, 1003];[1080, 856, 1180, 991];16692.32943431357;13489.333803579211;0.429418683052063;1.0;0.93359375;0.7230769230769231
W_UV_ISKANDARPUTERI_170824FT1_A095;101;39;[1235, 936, 1393, 1111];[1244, 951, 1386, 1103];27579.891801719856;21718.521089434624;0.38275444507598877;1.0;0.93359375;0.7806148282097649
W_UV_ISKANDARPUTERI_170824FT1_A095;102;100;[1623, 808, 1813, 933];[1596, 790, 1814, 927];23791.359534827126;31422.203680872917;0.6645403504371643;1.0;0.87890625;0.7292137005740824
W_UV_ISKANDARPUTERI_170824FT1_A095;103;94;[2067, 414, 2224, 554];[2069, 418, 2222, 554];22064.373106239247;23821.69566178322;0.451925665140152;1.0;0.890625;0.9466787989080983
W_UV_ISKANDARPUTERI_170824FT1_A095;104;78;[1970, 390, 2087, 565];[1973, 399, 2075, 571];20429.549482755447;18227.521581351757;0.4503993093967438;1.0;0.91015625;0.8029591691563522
W_UV_ISKANDARPUTERI_170824FT1_A095;105;97;[1785, 458, 1920, 576];[1784, 443, 1921, 585];15918.29654473195;20307.508352626115;0.4858733117580414;1.0;0.88671875;0.8188547342448854
W_UV_ISKANDARPUTERI_170824FT1_A095;106;103;[1693, 548, 1868, 641];[1709, 544, 1860, 628];16344.150324941427;13991.503047674894;0.5074313879013062;1.0;0.859375;0.7156822086616506
W_UV_ISKANDARPUTERI_170824FT1_A095;107;149;[937, 775, 976, 827];[947, 774, 974, 820];2006.8930650457007;1517.16260176152;0.4394153654575348;1.0;0.59765625;0.5912408759124088
W_UV_ISKANDARPUTERI_170824FT1_A095;108;-1;[2114, 726, 2152, 778];;2007.0051381492385;0.0;0.0;1.0;0.0;0.0
W_UV_ISKANDARPUTERI_170824FT1_A095;109;139;[1585, 956, 1623, 1008];[1591, 961, 1622, 1010];2006.8930650457007;1570.5295299366117;0.47807228565216064;1.0;0.6640625;0.7149165848871443
W_UV_ISKANDARPUTERI_170824FT1_A095;110;108;[1898, 1528, 1961, 1580];[1905, 1534, 1957, 1576];3283.0677244660606;2520.8763416409492;0.48378539085388184;1.0;0.828125;0.6666666666666666
W_UV_ISKANDARPUTERI_170824FT1_A095;111;56;[1830, 577, 1997, 740];[1830, 595, 1984, 727];27171.78601386496;20668.91219520569;0.38211381435394287;1.0;0.92578125;0.7467763858785497
W_UV_ISKANDARPUTERI_170824FT1_A095;112;109;[630, 2609, 681, 2670];[635, 2610, 664, 2650];3108.022134962693;1178.8672960996628;0.23790322244167328;1.0;0.81640625;0.37287045965927357
W_UV_ISKANDARPUTERI_170824FT1_A095;113;125;[789, 2896, 840, 2957];[803, 2908, 838, 2939];3108.022134962693;1364.7299883961678;0.2568238079547882;1.0;0.72265625;0.34876245580199294
W_UV_ISKANDARPUTERI_170824FT1_A095;114;377;[605, 2887, 655, 2949];[609, 2906, 650, 2925];3108.022134962693;14528.714384794235;0.20074696838855743;1.0;0.08642578125;0.25129032258064515
W_UV_ISKANDARPUTERI_170824FT1_A095;115;136;[1486, 1445, 1524, 1497];[1496, 1464, 1514, 1492];2007.0051381492385;672.9079087078571;0.2157716453075409;1.0;0.68359375;0.2550607287449393
W_UV_ISKANDARPUTERI_170824FT1_A095;116;115;[1589, 3292, 1628, 3344];[1588, 3297, 1633, 3334];2007.0051381492385;1766.2970398664474;0.4050396680831909;1.0;0.76953125;0.6413333333333333
W_UV_ISKANDARPUTERI_170824FT1_A095;117;99;[947, 471, 1100, 609];[950, 478, 1089, 603];21045.246877463753;19006.233295369893;0.44422125816345215;1.0;0.8828125;0.8229137065454201
W_UV_ISKANDARPUTERI_170824FT1_A095;118;84;[981, 536, 1139, 711];[1015, 543, 1123, 705];27579.891801719856;17573.771145939827;0.38568466901779175;1.0;0.91015625;0.6327667269439421
W_UV_ISKANDARPUTERI_170824FT1_A095;119;21;[1098, 665, 1264, 813];[1099, 670, 1264, 809];24745.777012787752;22698.53404402733;0.4403006136417389;1.0;0.94140625;0.9335314229892543
W_UV_ISKANDARPUTERI_170824FT1_A095;120;20;[1270, 662, 1428, 837];[1272, 676, 1422, 831];27579.891801719856;23948.734942495823;0.34083762764930725;1.0;0.94140625;0.840867992766727
W_UV_ISKANDARPUTERI_170824FT1_A095;121;55;[1454, 586, 1571, 781];[1478, 588, 1559, 765];22813.33741490163;15347.220747947693;0.3823503851890564;1.0;0.92578125;0.6284023668639053
W_UV_ISKANDARPUTERI_170824FT1_A095;122;30;[1200, 402, 1358, 577];[1213, 408, 1337, 555];27579.891801719856;18846.647110655904;0.3885434567928314;1.0;0.9375;0.6592405063291139
W_UV_ISKANDARPUTERI_170824FT1_A095;123;67;[764, 411, 922, 563];[768, 431, 923, 556];23912.22585695448;20143.31427669525;0.41622820496559143;1.0;0.921875;0.7973986164616214
W_UV_ISKANDARPUTERI_170824FT1_A095;124;4;[599, 478, 757, 653];[599, 502, 750, 643];27579.891801719856;21967.048773393035;0.34637650847435;1.0;0.9609375;0.7700180831826401
W_UV_ISKANDARPUTERI_170824FT1_A095;125;15;[870, 2039, 1028, 2214];[837, 2043, 1031, 2210];27579.891801719856;33067.80557155609;0.41977235674858093;1.0;0.9453125;0.783851226902739
